tier,task,variant,seed,run_id,config
toy_sampling,T2_four_well,fixed_noise,R003,toy_sampling__T2_four_well__fixed_noise__R003,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
toy_sampling,T2_four_well,fixed_noise,R004,toy_sampling__T2_four_well__fixed_noise__R004,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
toy_sampling,T2_four_well,fixed_noise,R005,toy_sampling__T2_four_well__fixed_noise__R005,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
toy_sampling,T2_four_well,fixed_noise,R006,toy_sampling__T2_four_well__fixed_noise__R006,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
toy_sampling,T2_four_well,fixed_noise,R007,toy_sampling__T2_four_well__fixed_noise__R007,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
toy_sampling,T2_four_well,fixed_noise,R008,toy_sampling__T2_four_well__fixed_noise__R008,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
toy_sampling,T2_four_well,fixed_noise,R009,toy_sampling__T2_four_well__fixed_noise__R009,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
toy_sampling,T2_four_well,fixed_noise,R010,toy_sampling__T2_four_well__fixed_noise__R010,configs/experiments/toy_sampling/T2_four_well/fixed_noise.yaml
toy_sampling,T2_four_well,pnedb,R001,toy_sampling__T2_four_well__pnedb__R001,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
toy_sampling,T2_four_well,pnedb,R002,toy_sampling__T2_four_well__pnedb__R002,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
toy_sampling,T2_four_well,pnedb,R003,toy_sampling__T2_four_well__pnedb__R003,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
toy_sampling,T2_four_well,pnedb,R004,toy_sampling__T2_four_well__pnedb__R004,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
toy_sampling,T2_four_well,pnedb,R005,toy_sampling__T2_four_well__pnedb__R005,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
toy_sampling,T2_four_well,pnedb,R006,toy_sampling__T2_four_well__pnedb__R006,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
toy_sampling,T2_four_well,pnedb,R007,toy_sampling__T2_four_well__pnedb__R007,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
toy_sampling,T2_four_well,pnedb,R008,toy_sampling__T2_four_well__pnedb__R008,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
toy_sampling,T2_four_well,pnedb,R009,toy_sampling__T2_four_well__pnedb__R009,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
toy_sampling,T2_four_well,pnedb,R010,toy_sampling__T2_four_well__pnedb__R010,configs/experiments/toy_sampling/T2_four_well/pnedb.yaml
toy_sampling,T3_ring,deterministic,R001,toy_sampling__T3_ring__deterministic__R001,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
toy_sampling,T3_ring,deterministic,R002,toy_sampling__T3_ring__deterministic__R002,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
toy_sampling,T3_ring,deterministic,R003,toy_sampling__T3_ring__deterministic__R003,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
toy_sampling,T3_ring,deterministic,R004,toy_sampling__T3_ring__deterministic__R004,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
toy_sampling,T3_ring,deterministic,R005,toy_sampling__T3_ring__deterministic__R005,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
toy_sampling,T3_ring,deterministic,R006,toy_sampling__T3_ring__deterministic__R006,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
toy_sampling,T3_ring,deterministic,R007,toy_sampling__T3_ring__deterministic__R007,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
toy_sampling,T3_ring,deterministic,R008,toy_sampling__T3_ring__deterministic__R008,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
toy_sampling,T3_ring,deterministic,R009,toy_sampling__T3_ring__deterministic__R009,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
toy_sampling,T3_ring,deterministic,R010,toy_sampling__T3_ring__deterministic__R010,configs/experiments/toy_sampling/T3_ring/deterministic.yaml
toy_sampling,T3_ring,fixed_noise,R001,toy_sampling__T3_ring__fixed_noise__R001,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
toy_sampling,T3_ring,fixed_noise,R002,toy_sampling__T3_ring__fixed_noise__R002,configs/experiments/toy_sampling/T3_ring/fixed_noise.yaml
