tier,task,variant,seed,run_id,config
free_energy,alanine_T339_T382,short_mbar,R001,free_energy__alanine_T339_T382__short_mbar__R001__default,configs/experiments/free_energy/alanine_T339_T382/short_mbar.yaml
free_energy,alanine_T339_T382,short_mbar,R002,free_energy__alanine_T339_T382__short_mbar__R002__default,configs/experiments/free_energy/alanine_T339_T382/short_mbar.yaml
free_energy,alanine_T339_T382,short_mbar,R003,free_energy__alanine_T339_T382__short_mbar__R003__default,configs/experiments/free_energy/alanine_T339_T382/short_mbar.yaml
free_energy,alanine_T339_T382,short_mbar,R004,free_energy__alanine_T339_T382__short_mbar__R004__default,configs/experiments/free_energy/alanine_T339_T382/short_mbar.yaml
free_energy,alanine_T339_T382,short_mbar,R005,free_energy__alanine_T339_T382__short_mbar__R005__default,configs/experiments/free_energy/alanine_T339_T382/short_mbar.yaml
free_energy,alanine_T339_T382,bar_fep_no_transport,R001,free_energy__alanine_T339_T382__bar_fep_no_transport__R001__default,configs/experiments/free_energy/alanine_T339_T382/bar_fep_no_transport.yaml
free_energy,alanine_T339_T382,bar_fep_no_transport,R002,free_energy__alanine_T339_T382__bar_fep_no_transport__R002__default,configs/experiments/free_energy/alanine_T339_T382/bar_fep_no_transport.yaml
free_energy,alanine_T339_T382,bar_fep_no_transport,R003,free_energy__alanine_T339_T382__bar_fep_no_transport__R003__default,configs/experiments/free_energy/alanine_T339_T382/bar_fep_no_transport.yaml
free_energy,alanine_T339_T382,bar_fep_no_transport,R004,free_energy__alanine_T339_T382__bar_fep_no_transport__R004__default,configs/experiments/free_energy/alanine_T339_T382/bar_fep_no_transport.yaml
free_energy,alanine_T339_T382,bar_fep_no_transport,R005,free_energy__alanine_T339_T382__bar_fep_no_transport__R005__default,configs/experiments/free_energy/alanine_T339_T382/bar_fep_no_transport.yaml
free_energy,alanine_T339_T382,deterministic_transport,R001,free_energy__alanine_T339_T382__deterministic_transport__R001__default,configs/experiments/free_energy/alanine_T339_T382/deterministic_transport.yaml
free_energy,alanine_T339_T382,deterministic_transport,R002,free_energy__alanine_T339_T382__deterministic_transport__R002__default,configs/experiments/free_energy/alanine_T339_T382/deterministic_transport.yaml
free_energy,alanine_T339_T382,deterministic_transport,R003,free_energy__alanine_T339_T382__deterministic_transport__R003__default,configs/experiments/free_energy/alanine_T339_T382/deterministic_transport.yaml
free_energy,alanine_T339_T382,deterministic_transport,R004,free_energy__alanine_T339_T382__deterministic_transport__R004__default,configs/experiments/free_energy/alanine_T339_T382/deterministic_transport.yaml
free_energy,alanine_T339_T382,deterministic_transport,R005,free_energy__alanine_T339_T382__deterministic_transport__R005__default,configs/experiments/free_energy/alanine_T339_T382/deterministic_transport.yaml
free_energy,alanine_T339_T382,fixed_noise_transport,R001,free_energy__alanine_T339_T382__fixed_noise_transport__R001__default,configs/experiments/free_energy/alanine_T339_T382/fixed_noise_transport.yaml
free_energy,alanine_T339_T382,fixed_noise_transport,R002,free_energy__alanine_T339_T382__fixed_noise_transport__R002__default,configs/experiments/free_energy/alanine_T339_T382/fixed_noise_transport.yaml
free_energy,alanine_T339_T382,fixed_noise_transport,R003,free_energy__alanine_T339_T382__fixed_noise_transport__R003__default,configs/experiments/free_energy/alanine_T339_T382/fixed_noise_transport.yaml
free_energy,alanine_T339_T382,fixed_noise_transport,R004,free_energy__alanine_T339_T382__fixed_noise_transport__R004__default,configs/experiments/free_energy/alanine_T339_T382/fixed_noise_transport.yaml
free_energy,alanine_T339_T382,fixed_noise_transport,R005,free_energy__alanine_T339_T382__fixed_noise_transport__R005__default,configs/experiments/free_energy/alanine_T339_T382/fixed_noise_transport.yaml
free_energy,alanine_T339_T382,pnedb,R001,free_energy__alanine_T339_T382__pnedb__R001__default,configs/experiments/free_energy/alanine_T339_T382/pnedb.yaml
free_energy,alanine_T339_T382,pnedb,R002,free_energy__alanine_T339_T382__pnedb__R002__default,configs/experiments/free_energy/alanine_T339_T382/pnedb.yaml
